stt,x,y,w,h
1,-0.01,17,148,148
2,-13.52,20.23,204.65,204.65
2,-0.36,20.54,174.46,174.46
3,0.01,24.06,200.94,200.94
4,3.58,23.83,202.9,202.9
5,6.81,23.98,207.94,207.94
6,6.83,16.74,157.51,157.51
7,10.35,16.85,168.2,168.2
8,13.27,20.4,204.64,204.64
9,13.22,23.9,227.69,227.69
10,13.43,27.04,251.64,251.64
11,10.04,27.02,241.6,241.6
13,-16.53,26.83,264.34,264.34
14,-13.5,20.32,204.59,204.59
15,-19.92,20.11,237.09,237.09
16,-20.02,23.19,257.53,257.53
17,-15.52,19.73,212.12,212.12
18,4.97,16.96,153.36,153.36
19,4.72,23.69,205.3,205.3
20,11.38,23.78,221.93,221.93
