dis,err
175.72331183795214,21.01547049199707
143.62612518201655,17.095028517086483
102.24271650855741,15.60032050952799
110.00888841352504,12.101652779682627
72.27828422572075,11.005453193758076
136.45452321717977,15.565667348366393
105.36837624734795,14.509651959988549
116.41055084036037,16.87157372624143
42.36422620772049,5.000999900019995
58.67802069863194,6.576473218982956
156.77692119002583,20.330518930907786
143.5263000215859,15.533190271158093
95.61115292704741,13.946325680981353
143.62612518201655,16.862087652482415
203.07237039468757,20.272641663088706
154.4320550108138,18.569868066305688
210.6182406044846,21.345959805077868
69.94691508626954,8.640023148117136
157.5746194326508,18.417383093154132
197.81461161120887,20.145719148245878
9.098463515291519,
